Target,,,,,Accounts,,,,,,API Calls,,,,,,Algorithm,Supported Algorithms,,,,,,,,,,Modes,,,,Context,,Challenge,,,Origin,,,Cross Origin,Top Origin,,,RP ID Hash,,,User Present,User Verified,Backup State,Credential ID Length,Credential ID Unused,,,Allow Credentials,Non-Discoverable Identification,Discoverable Identification,Context,,Challenge,,,Origin,,,Cross Origin,Top Origin,,,RP ID Hash,,,User Present,User Verified,Backup State,Backup Eligible,,Signature,Signature Counter,,,,,Account Enumeration,,,Registration,,,Authentication,,,Responsible Disclosure,,,
Onet,onet.pl,862,VM,AM,TRUE,TRUE,TRUE,https://www.onet.pl/,https://konto.onet.pl/multi-factor-authentication,[Password],"{
  ""rp"": {
    ""name"": ""Onet Konto"",
    ""id"": ""konto.onet.pl""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""donald.demoson@gmail.com"",
    ""id"": ""MjQ4NDM3NjU1""
  },
  ""challenge"": ""bI9QK_QeEhCbxwkucUipPXlHYorPZgPQAQFwD6ZHmwesFPFZfG7OVeyhQRMorIfaZR2NIyqz87-r-BYRVMhFL1K-hgfU6wCqa45Ps_ejScM1C0xch4wVCLZXLenku9VQiQjgmAhYK5y0NKJPqZZbyHXx7b8CKizuO-5W5cef4-g"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -257
    },
    {
      ""type"": ""public-key"",
      ""alg"": -7
    }
  ],
  ""timeout"": 360000,
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""platform"",
    ""requireResidentKey"": false,
    ""userVerification"": ""preferred""
  },
  ""attestation"": ""none""
}","{
  ""origin"": ""https://konto.onet.pl"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""fK28t2RegUZvXswc0KKNTyCMcOwi33MIC9a5xvjBeU8jvQSqnWTHDkWPMVNKVvKu3LRJM1tTD4vZDhcEZzCWzGg7SKQGnx0FlJeZZuDlAiCxQ0vSJ-OjnsSzVtrW3HDcGHjngceAVhgF_sHJcPxXNLnmn33B3s8U9Udgh2YY-ZU"",
  ""timeout"": 360000,
  ""rpId"": ""konto.onet.pl"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""FJVeKwRC0kPwQMU2MxEytQH0LlRtB0lMEhfvp0jR4HQ"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    }
  ],
  ""userVerification"": ""preferred""
}","{
  ""origin"": ""https://konto.onet.pl"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""required""
}",TRUE,FALSE,Success,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Success,Success,Success,Failure,Failure,Failure,Failure,N/A,Success,Success,Partial,Success,Failure,Failure,Success,Success,Failure,Failure,Success,Success,Success,Failure,Failure,Failure,Success,Success,Success,Success,Failure,Failure,Failure,Failure,N/A,Success,Success,Success,Failure,Success,,,,Failure,TRUE,TRUE,TRUE,-,Onet Konto account already exists.,Onet Konto account already exists.,Account not found,"To log in with daisy.demoson@gmail.com
you must first confirm your email address.",Use passkey for address donald.demoson@gmail.com.,-,,onet.pl,Cred. Overwrite
MongoDB,mongodb.com,876,VM,,TRUE,TRUE,TRUE,https://account.mongodb.com/account/login,https://account.mongodb.com/account/profile/security,Captcha,"{
  ""rp"": {
    ""name"": ""MongoDB Cloud""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""Donal Demoson"",
    ""id"": ""00uyb4s7d4jf4zWeG297""
  },
  ""challenge"": ""IeeU3WHjulEflkhGdPOI0yqhDxFLW_uW"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""excludeCredentials"": [],
  ""authenticatorSelection"": {
    ""requireResidentKey"": false,
    ""userVerification"": ""discouraged""
  },
  ""attestation"": ""direct"",
  ""extensions"": {
    ""credProps"": true
  }
}","{
  ""origin"": ""https://account.mongodb.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""ldxk5NBeXxgyJpQEc27Y913nIYJADSX8"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""yUvs4cKuqDlKiAUzGKcsCqfDGM-scVLSbTF_NvpH994""
    }
  ],
  ""userVerification"": ""preferred"",
  ""extensions"": {}
}","{
  ""origin"": ""https://account.mongodb.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",FALSE,FALSE,Success,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2FA,FALSE,FALSE,,,,,,,,,,,,,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,Failure,N/A,N/A,N/A,,,,,,,,,,
Lowe's,lowes.com,894,,,Foreign phone required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kickstarter,kickstarter.com,905,,,No passkeys available,TRUE,,https://www.kickstarter.com/login?ref=nav,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Brazil,amazon.com.br,910,,,Duplicate,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binance,binance.com,937,VM,AM,TRUE,TRUE,TRUE,https://accounts.binance.com/en/login?loginChannel=&return_to=,https://www.binance.com/en/my/security,Passkey || Email + [Rate Limiting],"{
  ""rp"": {
    ""name"": ""Binance"",
    ""id"": ""binance.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""Chrome V141.0.0.0 (Linux)"",
    ""id"": ""MTEyOTQ4Mjg2OA""
  },
  ""challenge"": ""ZKjtke7C_4NJ78c8bJJlb2DnhDTmkGQ2ZzEdYbWfE5lA-8qW7AOTgB1expbH9W1aNbOW30piC15gQm68nlKg2g"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -65535
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    },
    {
      ""type"": ""public-key"",
      ""alg"": -258
    },
    {
      ""type"": ""public-key"",
      ""alg"": -259
    },
    {
      ""type"": ""public-key"",
      ""alg"": -37
    },
    {
      ""type"": ""public-key"",
      ""alg"": -38
    },
    {
      ""type"": ""public-key"",
      ""alg"": -39
    },
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -35
    },
    {
      ""type"": ""public-key"",
      ""alg"": -36
    },
    {
      ""type"": ""public-key"",
      ""alg"": -8
    },
    {
      ""type"": ""public-key"",
      ""alg"": -43
    }
  ],
  ""timeout"": 180000,
  ""excludeCredentials"": [],
  ""authenticatorSelection"": {
    ""requireResidentKey"": false,
    ""userVerification"": ""preferred""
  },
  ""attestation"": ""direct"",
  ""extensions"": {
    ""credProps"": true
  }
}","{
  ""origin"": ""https://accounts.binance.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""topwfAiuGQppoy4Bf3CBMFbyQF-SbPmJhO47PwDJ7uo44_WcLkQKNZYwDj15ingxDtjiUE4ox88QRlyhR_4rLg"",
  ""timeout"": 180000,
  ""rpId"": ""binance.com"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""FJVeKwRC0kPwQMU2MxEytQH0LlRtB0lMEhfvp0jR4HQ"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    },
    {
      ""type"": ""public-key"",
      ""id"": ""yUvs4cKuqDlKiAUzGKcsCqfDGM-scVLSbTF_NvpH994"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    },
    {
      ""type"": ""public-key"",
      ""id"": ""UC_By-d15l0lMoG1vqQnC-R2yRaXG3oRVFm9YE6B-DA"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    }
  ],
  ""userVerification"": ""preferred"",
  ""extensions"": {}
}","{
  ""origin"": ""https://accounts.binance.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Failure,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Failure,Failure,Failure,Failure,Failure,Success,Success,Success,Success,Success,Success,Success,Failure,Failure,N/A,Failure,N/A,Success,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Success,Failure,Success,Success,Success,Success,Failure,Failure,N/A,Failure,N/A,Success,Success,Success,Failure,Success,,,,Failure,TRUE,TRUE,TRUE,-,The account already exists,The account already exists,Binance account not found,Password prompt,Passkey started,,,binance.com,
PrivacyIDEA,privacyidea.org,938,,,Authentication as a Service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon AU,amazon.com.au,945,,,Duplicate,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixiv,pixiv.net,953,VM,AM,TRUE,TRUE,TRUE,https://www.pixiv.net/login.php?ref=wwwtop_accounts_index,https://www.pixiv.net/settings/accountt,Captcha,"{
  ""rp"": {
    ""name"": ""pixiv"",
    ""id"": ""pixiv.net""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""donald.demoson"",
    ""id"": ""YkKDPiZsEr0iZS70OGSHy0b0XvGQ9jW2ds3J6lMf84hF9hXcUEMeBLIFXIaRks1_RoSiEfZHkSm7hLnwmy8bng""
  },
  ""challenge"": ""QWxTQ6L4WHIlrajbZJ1kJi-dGZ_fR2DedECSuGT1ACE"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -8
    },
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""L453xmjTdBsRZkorqHYWw1l6GchwspygvhBoC2gsYpY"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    }
  ],
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""platform"",
    ""residentKey"": ""required"",
    ""userVerification"": ""required""
  },
  ""attestation"": ""none""
}","{
  ""origin"": ""https://accounts.pixiv.net"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""Rh0VZVlT9Qy9Zx38nwd1suyR4RQpTqF4hE2i8P87_1c"",
  ""rpId"": ""pixiv.net"",
  ""allowCredentials"": [],
  ""userVerification"": ""required""
}","{
  ""origin"": ""https://accounts.pixiv.net"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Failure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Failure,Failure,Failure,Failure,Failure,N/A,Failure,Failure,Failure,Failure,Failure,Failure,Failure,N/A,N/A,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Failure,Failure,Failure,Failure,Failure,N/A,Failure,Failure,Failure,Failure,N/A,Success,Failure,,,,Failure,N/A,N/A,N/A,,,,,,,https://hackerone.com/pixiv?type=team,,pixiv.net,Signature
Onedrive,onedrive.com,963,,,Duplicate,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan,umich.edu,981,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID.me,va.gov,992,,,Brokered login service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docomo,docomo.ne.jp,1019,,,Website down,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University,psu.edu,1141,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notion,notion.so,1143,VM,AM,TRUE,TRUE,TRUE,https://www.notion.so/,https://www.notion.so/,Captcha,"{
  ""rp"": {
    ""name"": ""Notion"",
    ""id"": ""notion.so""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""donald.demoson@gmail.com"",
    ""id"": ""MWU0ZDg3MmItNTk0Yy04MWY1LWExNjktMDAwMmEwOTc2ZjYx""
  },
  ""challenge"": ""SMBiSNoXA3qjVcfRrDIxm2gUbAK3QLnf0nJKGLZm3uQ"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -8
    },
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 60000,
  ""excludeCredentials"": [],
  ""authenticatorSelection"": {
    ""residentKey"": ""preferred"",
    ""requireResidentKey"": false,
    ""userVerification"": ""preferred""
  },
  ""attestation"": ""none"",
  ""extensions"": {
    ""credProps"": true
  }
}","{
  ""origin"": ""https://www.notion.so"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""ARrVMI2NtVHsoyAvCLKzMgFEzhpfQ4h-aYFOpjiS-WI"",
  ""timeout"": 120000,
  ""rpId"": ""notion.so"",
  ""userVerification"": ""discouraged""
}","{
  ""origin"": ""https://www.notion.so"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Success,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Success,Success,Success,Success,Failure,Failure,N/A,Failure,N/A,Failure,Failure,Failure,Failure,Failure,N/A,N/A,Success,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Success,Success,Success,Success,Failure,Failure,N/A,Failure,N/A,Failure,Failure,Failure,Failure,Failure,,,,Failure,N/A,N/A,N/A,,,,,,,,,notion.so,
"University of California, Los Angeles",ucla.edu,1171,,,Restricted or paid access,TRUE,,https://accounts.iam.ucla.edu/#/dashboard,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID.me,irs.gov,1197,,,Brokered login service,,,https://www.irs.gov/your-account,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla,tesla.com,1282,,,No passkeys available,TRUE,,https://auth.tesla.com/en_us/oauth2/v1/authorize?redirect_uri=https%3A%2F%2Fwww.tesla.com%2Fteslaaccount%2Fowner-xp%2Fauth%2Fcallback&response_type=code&client_id=ownership&scope=offline_access%20openid%20ou_code%20email%20phone&audience=https%3A%2F%2Fownership.tesla.com%2F&locale=en-US,https://mfa.tesla.com/?login_hint=donald.demoson%40gmail.com&locale=en-US,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au,auone.jp,1352,,,Mobile App,TRUE,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Wisconsin Madison,wisc.edu,1376,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClassLink,classlink.com,1398,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMware Workspace ONE Access,vmware.com,1460,,,No passkeys available,TRUE,,https://profile.broadcom.com/web/registration,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcalive,arca.live,1605,AM,MW,TRUE,TRUE,TRUE,https://arca.live/u/login?goto=%2F,https://arca.live/settings/account,[Password] + [Captcha],"{
  ""rp"": {
    ""name"": ""아카라이브"",
    ""id"": ""arca.live""
  },
  ""user"": {
    ""name"": ""donalddemoson"",
    ""displayName"": ""donalddemoson"",
    ""id"": ""ONmkASFXwojT8EY0y06y6U8fActh5cDrR4OJrtLkxrM""
  },
  ""challenge"": ""I8_pjerFsTBkI2AJo940c8Nk8NQAMz8U43YvzV9wMGg"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 60000,
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""U4qs1VX6YZh_MXXA6G1RavsNdBwpgdAFvKLdYFkYjL4"",
      ""transports"": [
        ""usb"",
        ""ble"",
        ""nfc"",
        ""internal""
      ]
    }
  ],
  ""authenticatorSelection"": {
    ""requireResidentKey"": false,
    ""userVerification"": ""discouraged""
  },
  ""attestation"": ""none"",
  ""extensions"": {
    ""credProps"": true
  }
}","{
  ""origin"": ""https://arca.live"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""3YnlFTK00d79naqfEspZqUwo-aOSCBBVi2TMW2T5ThE"",
  ""timeout"": 60000,
  ""rpId"": ""arca.live"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""L453xmjTdBsRZkorqHYWw1l6GchwspygvhBoC2gsYpY"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    },
    {
      ""type"": ""public-key"",
      ""id"": ""U4qs1VX6YZh_MXXA6G1RavsNdBwpgdAFvKLdYFkYjL4"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    }
  ],
  ""userVerification"": ""discouraged""
}","{
  ""origin"": ""https://arca.live"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Success,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Failure,Failure,Failure,Failure,Failure,Failure,Failure,N/A,Success,Success,Derived,Derived,Failure,Failure,N/A,Failure,N/A,Failure,Failure,Failure,Failure,Failure,Failure,Failure,N/A,Failure,Failure,Failure,Failure,Failure,Failure,Failure,N/A,Success,Success,Derived,Derived,Failure,Failure,N/A,Failure,N/A,Failure,Failure,N/A,Success,Failure,,,,Failure,TRUE,FALSE,TRUE,A verification email has been sent,Confirmed. Please go to the previous page to complete your request.,Confirmed. Please go to the previous page to complete your request.,Your ID or Password is incorrect.,Your ID or Password is incorrect.,"{
  ""challenge"": ""wT5ZzdnkBDWZ9CTJRCbDeGPdMj8XDfYBDhTK3ZSCmMo"",
  ""timeout"": 60000,
  ""rpId"": ""arca.live"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""L453xmjTdBsRZkorqHYWw1l6GchwspygvhBoC2gsYpY"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    },
    {
      ""type"": ""public-key"",
      ""id"": ""U4qs1VX6YZh_MXXA6G1RavsNdBwpgdAFvKLdYFkYjL4"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    }
  ],
  ""userVerification"": ""discouraged""
}",-,,arca.live,Signature
Fedora,fedoraproject.org,1724,,,Platform,TRUE,,https://accounts.fedoraproject.org/,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coinbase,coinbase.com,1773,,,Personal identification required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of California, San Diego",ucsd.edu,1826,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie Mellon University,cmu.edu,1848,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Buy,bestbuy.com,1884,LJ,LJ,TRUE,TRUE,TRUE,https://www.bestbuy.com/identity/global/signin,https://www.bestbuy.com/identity/accountSettings/page/passkeyDetails,--,"{
  ""rp"": {
    ""name"": ""Best Buy"",
    ""id"": ""bestbuy.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""DONALD DEMOSON"",
    ""id"": ""YTVjNjI0MWYtMWI4ZC0xMWYwLThjNDItMDI3YTk1NzYyNzRi""
  },
  ""challenge"": ""Ri1qWWRHZ2lhOGhpd0p6enVnYTllbkJRQjEtMzBNTGY3aEMyWUVXTlRQRQ"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 60000,
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""Q5zFMUDu6Ir_oSH3siJ0KMGh_2xeLPIgNNGRilv-wYQ"",
      ""transports"": [
        ""internal""
      ]
    }
  ],
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""platform"",
    ""residentKey"": ""required"",
    ""requireResidentKey"": true,
    ""userVerification"": ""required""
  },
  ""attestation"": ""none""
}","{
  ""origin"": ""https://www.bestbuy.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""ZDRYdXNRMnZpTDlnRDhock9xYnhkLWxLMGU0M3JGU2h6VDBrbUJzSlhLSQ"",
  ""timeout"": 60000,
  ""rpId"": ""bestbuy.com"",
  ""allowCredentials"": [],
  ""userVerification"": ""required""
}","{
  ""origin"": ""https://www.bestbuy.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,TRUE,Failure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Failure,Failure,Failure,Success,Failure,Failure,Failure,Failure,Success,Success,Success,Success,Failure,Failure,N/A,Failure,Failure,Failure,Success,Failure,Failure,Failure,N/A,N/A,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Success,Success,Success,Failure,Failure,Failure,Failure,Failure,Success,Success,Success,Failure,Failure,,,,Failure,N/A,N/A,N/A,,,,,,,,,bestbuy.com,
